sl	Prog Name	bpf-check()-AVG	bpf-check()-SD	bpf-prog-load()-AVG	bpf-prog-load()-SD
1	trace-fields	1.78327572	0.3519764417	2.0644628	0.3525725539
2	hello-perf	0.7449514615	0.2410541159	1.126344038	0.3356914237
3	stacksnoop	0.8619444	0.3195337218	1.28907732	0.476722437
4	hello-perf-ns	0.90837352	0.3468622847	1.30878424	0.4337931639
5	sync-timing	2.63779908	0.8354539378	3.10237	0.8055509938
6	strlen-count	1.28448492	0.2766426087	1.78017144	0.3885719886
7	trace-perf	2.4178236	0.4411582666	2.89479216	0.4947205542
8	undump	0.95712208	0.3184093439	1.42243724	0.3548932247
9	stack-buildid	1.10070192	0.4912182717	1.6231072	0.7407823604
10	dddos	1.40426708	0.2447043022	1.9152654	0.3379741024
11	tcpv4connect	2.53853472	0.6220447506	2.99695388	0.6823381941
12	biolatpcts	1.6578472	0.250793952	2.17770348	0.2953845538
13	strlen-hist	1.50629648	0.2789470365	2.02902236	0.3905573543
14	nflatency	2.29318548	0.4880146751	3.0389214	0.6389983778
15	vfsreadlat	2.00967704	0.351103329	2.63442552	0.4542328631